"Site","lat_WGS84","long_WGS84","ESP","DEM_30","Aspect","MrRTF","SlopeDeg","rad_k","rad_th","rad_u","NDVI_50","RED_50","rain","temp"
"203_ORZC_ORZC9_1",-35.96532,142.722,11.6304672891185,94.67455,4.36070862676634,7.508186,0.3710994,0.7955648,7.273232,1.00421,0.1584446,1334.364,342.1179,15.19731
"203_NWRS_HOP10_1",-35.8651,142.2317,2.479339,87.01952,0.504193157777075,8.506708,0.2947104,0.6522769,6.370025,0.9921449,0.1460962,1488.417,333.0614,15.26916
"899_SSM_SSM132_1",-36.19157,143.3802,2.7236345938733,122.029541015625,1.35522941551952,6.6146764755249,0.326290100812912,1.1925528049469,12.3613080978394,1.52178490161896,0.192799881100655,1588.95239257812,369.145141601562,14.9056797027588
"399_WQR_M12_1",-28.96509,148.9845,14.3790247138731,164.1019,5.04978730473397,5.671878,0.468262,1.010417,11.47269,1.308451,0.2754845,1038,501.96,19.75725
"397_APSOIL_532-GENERIC_1",-27.183,151.264,3.68159393952908,342.9939,3.53179940511667,4.632774,1.193112,0.8724706,5.371186,0.6238235,0.08725888,2020.2,614.4134,18.71789
"899_Wagga_SLM_BD8_1",-35.026309967,147.37713623,0.91088929200989,246.924545288086,3.3387209027419,1.67504811286926,2.62045645713806,1.20120239257812,13.6251802444458,1.74129056930542,0.251104950904846,1215.65002441406,543.107482910156,15.3634185791016
"399_EDGEROI_ed122_1",-30.13416,149.9657,3.35237155211034,403.290649414062,5.72616865359075,2.63949131965637,1.25792598724365,0.472856312990189,12.1402969360352,1.33875465393066,0.594509065151215,371.200012207031,691.490234375,17.4979858398438
"898_CSIRO_LW_CP338_1",-35.91769,146.332,5.0283869784123,163.145614624023,0.440251820332906,2.66376304626465,1.5414662361145,1.08439564704895,15.0832633972168,2.0521674156189,0.384929656982422,1191,509.205810546875,15.1341753005981
"399_EDGEROI_ed161_1",-30.19688,149.5803,3.51091195175467,198.85,0.872631464741377,3.59915,0.1582444,1.229753,7.847018,0.7847196,0.1934797,936.1429,617.3495,18.75082
"399_EDGEROI_ed348_1",-30.15409,149.9217,16.2455683411671,299,3.52545513328567,0,1.48619,0.2080293,6.429893,0.9421983,0.3994355,882.3333,645.507,18.12575
"106_1001022_88_1",-31.61653,149.8742,1.64806594357227,526.869506835938,1.58880462208601,0,4.953941822052,0.76963210105896,3.88845658302307,0.765064299106598,0.404977321624756,982.375,653.408752441406,15.2423791885376
"299_NSF_VW76_1",-36.56518,142.318,17.5888355107973,137.7558,2.84072756114325,7.588619,0.3630358,0.7423704,8.572513,0.9374832,0.1914481,1341.8,402.4771,14.2256
"299_NSF_VP23_1",-36.63181,145.8846,2.98955151542216,200,5.55668987550808,4.52807903289795,0.216439604759216,2.03153085708618,26.3212757110596,2.39486241340637,0.439483255147934,989,688.633178710938,14.2450656890869
"203_NWSP_MP45_1",-35.81421,142.7169,32.0058750841051,84.81703,1.31423676647608,7.517446,0.1996507,0.5510858,5.299528,0.7751917,0.1655617,1451,337.3385,15.36538
"203_NWRS_BIR24_1",-35.85699,142.8019,22.35294,91.1725,3.40813584629586,7.567741,0.4532735,0.7235459,6.718356,0.8959422,0.1552178,1356,345.4808,15.28299
"106_1000604_666_1",-34.651,147.9788,1.8381711328792,383,1.45263892660497,2.50876331329346,2.90985202789307,0.97482830286026,12.8452758789062,1.79350209236145,0.397697538137436,1093,626.15673828125,14.3926830291748
"106_1002057_282_1",-31.06806,149.8904,10.5092692452463,290,1.34784360482201,3.560227,0.1293909,1.10701,6.925984,0.6631896,0.2992407,915.7857,625.0378,17.39864
